stem,gan_edge_iou,gan_chamfer,gan_sketch_lpips,gan_psnr,gan_ssim,gan_lpips,gan_bnd_lpips,gan_face_lpips,gan_arcface_cos,dit_edge_iou,dit_chamfer,dit_sketch_lpips,dit_psnr,dit_ssim,dit_lpips,dit_bnd_lpips,dit_face_lpips,dit_arcface_cos
braid_2830,0.08184390311227659,3.8769136419075103,0.8246264457702637,12.980800529714108,0.5224884595585885,0.3366198241710663,0.018169939517974854,0.0032645887695252895,0.7012432217597961,0.08466999737049698,4.055927199290631,0.8595578670501709,13.496464984973343,0.5399952591217135,0.3291451632976532,0.014510879293084145,0.0,0.7967315912246704
braid_2846,0.12944279591163865,1.5245165103004665,0.9920969009399414,11.358438024108839,0.4673320959840219,0.4460625648498535,0.011023472063243389,0.002523125382140279,0.7590285539627075,0.13820908190691752,1.4444583285103694,0.9842813014984131,13.98086405225425,0.4887950843457185,0.44232305884361267,0.02641311101615429,0.0,0.7410114407539368
braid_2885,0.09721583064887253,2.6788630341447384,0.7261534333229065,11.058245881651438,0.5840906979754307,0.31417104601860046,0.010457965545356274,0.0036780890077352524,0.878877580165863,0.09643718189124029,2.6054965422403846,0.7918992638587952,12.604025437407284,0.591305037261944,0.2899869382381439,0.01409764401614666,0.0,0.9243824481964111
braid_2951,0.1536671972572548,1.2222233448548832,0.7226290106773376,12.188061535322557,0.5808820789524808,0.31525999307632446,0.03295102342963219,0.006057963240891695,0.8125441670417786,0.16197098669224314,1.1717050932094524,0.7923305630683899,12.33343157186615,0.5607768490864473,0.2925432324409485,0.031000472605228424,0.0,0.8272051811218262
braid_2974,0.1218801592696902,1.5563445214620502,0.701665997505188,11.630958503800583,0.6598023626658774,0.2916693091392517,0.03278040140867233,0.0025417921133339405,0.8073170185089111,0.13348089693003562,1.4907241804550662,0.7272043228149414,12.955361923414825,0.6601322683897086,0.28105199337005615,0.046187710016965866,0.0,0.8540352582931519
braid_2980,0.13019459513263326,1.6431293407854932,0.7454171776771545,12.022478270447811,0.6433587314858276,0.3277539610862732,0.054842352867126465,0.0035074891056865454,0.7706543803215027,0.132994515171338,1.5575119826966835,0.7371088266372681,12.403317091987097,0.6435267151881395,0.3166796863079071,0.04865243285894394,0.0,0.8318495750427246
braid_3011,0.12355470616340182,1.720597207366005,0.5365529656410217,10.751611593064446,0.7476177971821816,0.1980174332857132,0.009492804296314716,0.0023940301034599543,0.7570860385894775,0.11976667607488946,1.745138020140248,0.5649726986885071,11.809637893738198,0.7544919362298357,0.202040433883667,0.012526484206318855,0.0,0.762394905090332
braid_3018,0.0951520389722637,2.8691326018915477,0.8227857947349548,10.626346143118528,0.5685514121807017,0.3604534864425659,0.03792933374643326,0.006927595939487219,0.8220868110656738,0.09550605705353654,2.8980697136204983,0.8723117709159851,10.91832045106811,0.5657143307526845,0.3339575231075287,0.03501718491315842,0.0,0.8052852153778076
braid_3026,0.09992449030958973,2.116235276183996,0.8147500157356262,11.524817269494198,0.576886433150052,0.35738617181777954,0.015001670457422733,0.0031402111053466797,0.7613551020622253,0.1016414547795301,2.1073511131097686,0.8101541996002197,11.443219792988247,0.5855650298771559,0.3789968490600586,0.015169492922723293,0.0,0.7631260752677917
braid_3029,0.13184011026878015,1.6697553857107716,0.6762114763259888,10.819371927044038,0.6503667089820854,0.28598809242248535,0.013688200153410435,0.003875559661537409,0.6827170848846436,0.1385508462722059,1.6416673518740126,0.6920139193534851,12.912766470817644,0.650809431980912,0.27392280101776123,0.018791833892464638,0.0,0.6257031559944153
braid_3035,0.08279628618241398,3.0074899305810994,0.8415790796279907,11.78690728050826,0.5374408424985982,0.3497607111930847,0.019337184727191925,0.0038019290659576654,0.8147352933883667,0.09450685936882516,2.9513746402946186,0.8346050381660461,13.066827679679117,0.5503478038830473,0.3534488081932068,0.020448433235287666,0.0,0.8298416137695312
braid_3046,0.10180888341699025,2.839134660974871,0.46938806772232056,10.41111137474209,0.7307710390503958,0.2536328434944153,0.0391836017370224,0.002931880299001932,0.7838765382766724,0.09632757266300078,2.768290299084734,0.4490441083908081,11.255823198161663,0.7375078915280128,0.231489360332489,0.03707457333803177,0.0,0.7877962589263916
